/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/0.png,"[2, 4, 3, 8, 2, 7]"
/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/1.png,"[9, 7, 7, 6, 4, 3]"
/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/2.png,"[3, 9, 9, 4, 6]"
/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/3.png,"[4, 2, 9, 6, 5, 9]"
/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/4.png,"[2, 6, 3, 2, 5, 4, 9]"
/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/5.png,"[6, 1, 2, 7, 8, 0, 1, 7, 1]"
/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/6.png,"[7, 8, 1, 1, 8, 4, 1, 0]"
/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/7.png,"[1, 0, 2, 7, 6, 5, 2]"
/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/8.png,"[6, 6, 0, 1, 4, 5, 2, 3]"
/Users/tyrellmartens/github/Thesis/Digit_Identification/analysis/dataset/28x28/images/9.png,"[7, 9, 8, 2, 6, 6, 4, 5, 1]"
